ID,"Snabba vändningar fot, Utrustning","Snabba vändningar fot, #1","Snabba vändningar fot, #2","Snabba vändningar fot, #3","Snabba vändningar fot, #4","Snabba vändningar fot, #5","Snabba vändningar fot, #6","Snabba vändningar fot, #7","Snabba vändningar fot, #8","Snabba vändningar fot, #9","Snabba vändningar fot, #10","Tennisboll över bom, Utrustning","Tennisboll över bom, #1","Droppboll, Utrustning","Droppboll, #1","Droppboll, #2","Droppboll, #3","Droppboll, #4","Droppboll, #5","Droppboll, #6","Droppboll, #7","Jonglera med armbåge, Utrustning","Jonglera med armbåge, #1","Jonglera med armbåge, #2","Jonglera med armbåge, #3","Kasta och fånga, Utrustning","Kasta och fånga, #1","Kasta och fånga, #2","Jonglera mot vägg, Utrustning","Jonglera mot vägg, #1","Jonglera mot vägg, #2","Jonglera mot vägg, #3","Kanonen, Utrustning","Kanonen, #1","Jonglera med knä, Utrustning","Jonglera med knä, #1","Jonglera med knä, #2","Jonglera med knä, #3","Studsa basket, Utrustning","Studsa basket, #1","Studsa basket, #2","Balansera bollen, Utrustning","Balansera bollen, #1","Balansera bollen, #2","Balansera bollen, #3","Minigolf, Utrustning","Minigolf, Höger/Vänster","Minigolf, #1","Minigolf, #2","Minigolf, #3","Minigolf, #4","Minigolf, #5","Minigolf, #6","Snabba vändningar klubba, Utrustning","Snabba vändningar klubba, #1","Snabba vändningar klubba, #2","Snabba vändningar klubba, #3","Snabba vändningar klubba, #4","Snabba vändningar klubba, #5","Snabba vändningar klubba, #6","Snabba vändningar klubba, #7","Snabba vändningar klubba, #8","Snabba vändningar klubba, #9","Snabba vändningar klubba, #10"
69, fot,0.8959999999999999,0.934,1.805, 1.464, 1.397, 1.933, 1.766, 1.803, 1.464, 2.07, rack,2.0, rack,6.07000017166138,2.44300007820129,3.21399998664856,3.9749999046325697,15.0,3.03200006484985,2.7769999504089395, armbåge,3.0, 3.0, 4.0, hand,15.0, 18.0, fot,1.0, 1.0, 0.0, klubba,9.0, lår,4.0,5.0, 2.0, hand,14.0,16.0, slagträ,1.7970000505447399,1.38699996471405, 1.39900004863739, klubba, höger,2.0,0.0,0.0, 1, 0, 0, klubba,0.8009999999999999,1.165,1.166, 1.167, 0.999, 1.153, 1.013, 1.199, 1.068, 1.17
70, fot,0.826,1.4480000000000002,1.137, 1.428, 1.334, 1.071, 1.3, 1.329, 1.271, 1.033, rack,5.0, rack,3.42600011825562,3.1710000038147004,3.62100005149841,3.6559998989105202,3.74600005149841,3.33899998664856,3.20799994468689, armbåge,4.0, 5.0, 5.0, hand,3.0, 18.0, fot,1.0, 2.0, 6.0, klubba,6.0, lår,40.0,40.0, 40.0, hand,5.0,10.0, slagträ,1.27400004863739,1.14900004863739, 2.66799998283386, klubba, höger,0.0,0.0,1.0, 1, 0, 3, klubba,0.866,0.9009999999999999,0.8340000000000001, 0.662, 1.434, 1.032, 2.172, 1.394, 0.869, 0.836
71, fot,1.402,2.066,1.3019999999999998, 3.063, 1.736, 1.661, 1.676, 2.063, 1.867, 1.533, rack,2.0, rack,15.0,15.0,8.25599956512451,9.39500045776367,9.99600028991699,8.36699962615967,6.60500001907349, armbåge,3.0, 3.0, 6.0, hand,1.0, 2.0, fot,1.0, 1.0, 2.0, klubba,2.0, lår,2.0,4.0, 3.0, hand,9.0,3.0, slagträ,0.44699999690055797,1.04799997806549, 0.625, klubba, vänster,0.0,0.0,1.0, 0, 2, 0, klubba,0.738,0.799,1.068, 1.631, 3.301, 1.336, 1.827, 2.169, 1.601, 1.466
72, fot,1.597,1.2,1.209, 1.457, 0.867, 1.302, 1.532, 1.235, 1.5, 1.703, rack,2.0, rack,6.58500003814697,4.39799976348877,5.038000106811519,4.67700004577637,7.21099996566772,4.1550002098083505,4.12599992752075, armbåge,2.0, 4.0, 4.0, hand,9.0, 1.0, fot,1.0, 1.0, 0.0, klubba,9.0, lår,14.0,5.0, 17.0, hand,20.0,17.0, slagträ,3.7639999389648398,2.56100010871887, 1.61099994182587, klubba, höger,0.0,1.0,0.0, 0, 0, 3, klubba,0.9111111111111109,0.872,0.93, 0.968, 1.066, 0.999, 0.867, 0.871, 0.729, 0.898
73, fot,1.399,1.196,1.87, 1.231, 1.903, 1.1, 3.532, 1.663, 1.705, 1.73322222222222, rack,3.0, rack,5.138999938964839,5.372000217437741,3.38299989700317,4.2519998550414995,3.00699996948242,3.76500010490417,3.4460000991821302, armbåge,3.0,3.0, 4.0, hand,2.0, 2.0, fot,0.0, 2.0, 1.0, klubba,10.0, lår,4.0,3.0, 6.0, hand,12.0,10.0, slagträ,2.56299996376038,2.57399988174438, 1.28999996185303, klubba, vänster,0.0, 0.0, 0.0, 1.0, 0.0, 0.0, klubba,0.9990000000000001,1.104,0.998, 1.234, 1.063, 1.167, 1.101, 1.069, 1.031, 1.035
74, fot,1.7990000000000002,1.733,2.764, 1.836, 2.462, 1.637, 2.565, 1.135, 3.065, 1.767, rack,2.0, rack,5.979000091552731,5.15500020980835,12.4739999771118,7.093999862670901,10.871000289917,4.06799983978271,6.593999862670901, armbåge,2.0, 2.0, 2.0, hand,3.0, 1.0, fot,0.0,1.0, 0.0, klubba,6.0, armbåge,2.0,2.0, 2.0, hand,6.0,4.0, slagträ,1.73399996757507,1.92700004577637,1.47200000286102, klubba, vänster,0.0,2.0,0.0, 1, 0, 3, klubba,1.37,1.3969999999999998,1.036, 1.812, 1.92, 1.698, 1.565, 1.238, 1.198, 1.432
75, fot,1.169,1.4280000000000002,2.369, 1.431, 2.67, 1.565, 1.631, 3.033, 3.768, 2.367, rack,2.0, rack,7.53299999237061,15.0,6.2020001411438,15.0,15.0,10.548999786377,15.0, armbåge,2.0, 1.0, 3.0, hand,2.0, 1.0, fot,0.0,0.0, 1.0, klubba,5.0, lår,2.0,1.0, 3.0, hand,4.0,4.0, slagträ,1.07700002193451,1.25600004196167,0.8000000119209291, klubba, höger,0.0,0.0,0.0, 0, 0, 0, klubba,1.026,1.47,1.399, 1.334, 1.364, 1.471, 1.434, 2.198, 1.302, 1.632
76, fot,1.8319999999999999,1.198,2.2030000000000003, 1.298, 2.168, 2.163, 1.3, 1.5, 2.335, 4.098, rack,1.0, rack,4.49399995803833,14.145000457763699,4.18300008773804,6.46099996566772,11.609999656677198,4.32100009918213,4.27199983596802, armbåge,3.0,2.0, 4.0, hand,3.0, 5.0, fot,1.0, 1.0, 0.0, klubba,6.0, lår,2.0,3.0, 1.0, hand,19.0,22.0, slagträ,1.9639999866485602,0.5260000228881839, 1.29999995231628, klubba, vänster,0.0, 0.0, 1.0, 0.0, 0.0, 0.0, klubba,0.9620000000000001,1.304,0.863, 1.169, 1.568, 5.834, 1.461, 1.304, 0.934, 1.4
77,,,,,,,,,,,, rack,2.0, rack,6.30299997329712,4.76700019836426,5.22300004959106,3.9479999542236297,15.0,4.6680002212524405,8.60099983215332, armbåge,3.0, 4.0, 2.0, hand,15.0, 5.0, fot,0.0,1.0, 2.0, klubba,7.0, lår,2.0,3.0, 1.0, hand,9.0,10.0, slagträ,0.535000026226044,0.6679999828338621,1.45899999141693, klubba, vänster,0.0,0.0,0.0, 0, 0, 0,,,,,,,,,,,
78, fot,1.531,1.969,1.8719999999999999, 2.424, 1.566, 1.304, 1.765, 2.034, 1.765, 2.266, rack,1.0, rack,6.19500017166138,15.0,3.78800010681152,15.0,6.2960000038147,5.81599998474121,5.7989997863769505, armbåge,4.0, 2.0, 6.0, hand,3.0, 2.0, fot,0.0,1.0, 0.0, klubba,6.0, lår,4.0,2.0, 2.0, hand,2.0,1.0, slagträ,1.60699999332428,0.252000004053116,0.0489999987185001, klubba, höger,0.0,1.0,0.0, 0, 2, 2, klubba,0.7659999999999999,1.974,1.325, 1.102, 3.9, 1.669, 4.125, 4.873, 1.666, 1.266
