ID,Höger/Vänster,Snabba vändningar fot,Tennisboll över bom,Droppboll,Jonglera med armbåge,Kasta och fånga,Jonglera mot vägg,Kanonen,Jonglera med knä,Studsa basket,Balansera bollen,Minigolf,Snabba vändningar klubba
16, vänster,15.153,11.0,6.232768666666666,3.0,12.0,5.0,12.0,9.0,10.0,4.76300001144409,8.0,10.448000000000002
17, vänster,15.067000000000002,5.0,5.138666629791257,6.0,6.0,1.0,3.0,7.0,22.0,1.9830000400543202,6.0,11.397
18, höger,,5.0,5.315333207448323,2.0,18.0,3.0,5.0,14.0,16.0,1.8129999637603798,8.0,9.973
19, vänster,,2.0,4.483999888102214,4.0,17.0,6.0,8.0,2.0,13.0,1.2339999675750701,3.0,11.863999999999999
20, höger,20.241,0.0,6.511666615804036,4.0,9.0,0.0,8.0,3.0,20.0,1.41600000858307,5.0,11.392
21, höger,11.267,9.0,2.797666629155477,5.0,26.0,1.0,4.0,24.0,,1.9110000133514398,8.0,6.113000000000001
22, höger,16.631999999999998,3.0,3.8146667480468768,6.0,7.0,3.0,9.0,4.0,22.0,2.07100009918213,3.0,10.129000000000001
23, vänster,22.439799999999998,2.0,5.903666496276855,3.0,4.0,1.0,7.0,4.0,4.0,2.4130001068115203,4.0,16.092
24, vänster,24.608000000000004,0.0,5.053666591644286,2.0,2.0,0.0,,3.0,8.0,2.03999996185303,0.0,
25,,12.902999999999999,5.0,3.2106666564941366,5.0,1.0,1.0,7.0,21.0,15.0,2.66799998283386,,8.501
26, höger,20.04,10.0,3.405000050862633,3.0,22.0,4.0,19.0,13.0,,2.2820000648498504,9.0,6.143000000000001
27, vänster,11.885000000000002,9.0,3.38166666030884,4.0,21.0,2.0,13.0,30.0,25.0,2.89199995994568,2.0,11.431
28, höger,17.794,9.0,4.19166660308838,5.0,10.0,1.0,7.0,7.0,21.0,4.30000019073486,2.0,8.564
29, vänster,13.827777777777778,10.0,3.5773332913716636,5.0,21.0,12.0,,14.0,24.0,4.01200008392334,2.0,6.902
30, vänster,21.882,3.0,6.53333330154419,2.0,2.0,0.0,7.0,5.0,13.0,1.45200002193451,1.0,20.76
31, vänster,25.582,1.0,6.091333389282227,3.0,3.0,1.0,5.0,3.0,15.0,1.65600001811981,8.0,16.31
32, höger,26.497999999999998,,5.9089999198913565,3.0,2.0,1.0,2.0,2.0,3.0,1.13699996471405,2.0,26.324000000000005
33, höger,35.731,1.0,15.0,2.0,1.0,2.0,5.0,2.0,2.0,2.9600000381469704,0.0,23.442
34, höger,35.659,4.0,7.7696668306986325,3.0,5.0,2.0,5.0,2.0,3.0,1.9049999713897698,0.0,36.628
35, vänster,44.099000000000004,,4.063666661580403,,,1.0,6.0,4.0,,1.08399999141693,0.0,22.001999999999995
36, vänster,28.877,,7.060333251953128,,,3.0,5.0,3.0,,1.51499998569489,1.0,17.231
37, höger,,9.0,4.3646666208903,5.0,12.0,2.0,9.0,6.0,22.0,1.432000041008,3.0,
38,,,,4.24589996948242,5.0,13.0,2.0,6.0,3.0,20.0,,,
39, höger,16.642999999999997,6.0,2.9603333473205566,7.0,,4.0,7.0,5.0,11.0,2.39299988746643,9.0,6.36888888888889
40, höger,18.935000000000002,3.0,3.8589999675750732,7.0,17.0,2.0,7.0,3.0,8.0,2.59599995613098,2.0,14.523
41, höger,28.170999999999996,2.0,9.625,4.0,2.0,2.0,6.0,5.0,4.0,1.0980000495910602,4.0,23.842000000000002
42, höger,21.319,5.0,5.50933329264323,4.0,13.0,2.0,9.0,13.0,16.0,1.44200003147125,4.0,13.861
43, vänster,18.308888888888887,7.0,4.214333375295003,5.0,9.0,2.0,6.0,5.0,17.0,1.4370000362396202,7.0,12.262
44, höger,27.668,4.0,6.252333323160809,4.0,1.0,1.0,8.0,5.0,20.0,1.2239999771118202,0.0,16.672
45, höger,23.803000000000004,2.0,8.100999832153333,,2.0,1.0,5.0,2.0,5.0,2.40499997138977,3.0,20.45
46, höger,15.879000000000001,1.0,4.46900002161662,4.0,1.0,2.0,7.0,3.0,11.0,0.857999980449677,6.0,14.270999999999999
47, vänster,21.863,1.0,5.77899996439616,3.0,5.0,1.0,7.0,3.0,9.0,2.42300009727478,4.0,15.793999999999999
48, vänster,14.636,1.0,6.135666529337567,4.0,17.0,1.0,2.0,7.0,17.0,2.1659998893737797,6.0,12.991999999999999
49, höger,12.841000000000001,7.0,3.61066675186157,4.0,8.0,1.0,7.0,14.0,13.0,1.4700000286102302,0.0,9.443
50,,13.63,3.0,3.779000043869017,3.0,18.0,3.0,3.0,4.0,7.0,1.4700000286102302,,11.441111111111109
51, höger,10.618999999999998,6.0,5.179000059763591,3.0,19.0,1.0,8.0,9.0,22.0,3.80699992179871,5.0,7.898714285714286
52, höger,17.18,6.0,4.5656665960947675,3.0,14.0,10.0,6.0,5.0,15.0,0.973999977111816,4.0,10.713
53, höger,13.637,7.0,3.0960000356038404,7.0,11.0,5.0,8.0,11.0,16.0,5.89699983596802,7.0,8.951166666666667
54, höger,15.54525,1.0,5.050999959309897,3.0,4.0,2.0,10.0,3.0,10.0,2.2509999275207497,3.0,13.394000000000002
55, höger,21.299000000000003,2.0,4.27466646830241,2.0,16.0,2.0,4.0,9.0,18.0,1.8279999494552601,3.0,11.781
56, höger,14.710999999999999,4.0,4.534333229064944,2.0,17.0,1.0,9.0,3.0,8.0,2.0550000667572,5.0,12.048000000000002
57, vänster,15.834999999999997,,5.934333324432373,6.0,5.0,1.0,8.0,5.0,11.0,1.2120000123977699,6.0,11.634
58, vänster,11.027777777777779,7.0,4.33233340581258,7.0,17.0,4.0,9.0,9.0,17.0,3.24699997901917,5.0,6.965
59, höger,17.829,2.0,3.91533335049947,4.0,17.0,6.0,9.0,5.0,20.0,4.26200008392334,7.0,12.15
60, höger,,2.0,3.8590000470479304,7.0,15.0,2.0,8.0,3.0,22.0,3.2809998989105202,7.0,
61, höger,15.962000000000002,5.0,6.674333413441976,3.0,14.0,1.0,8.0,4.0,14.0,2.95799994468689,1.0,14.067999999999998
62, vänster,21.287,2.0,6.0889999071756975,5.0,6.0,0.0,8.0,4.0,14.0,1.94599997997284,4.0,13.401
63, höger,11.566,8.0,3.203999996185303,7.0,10.0,10.0,10.0,30.0,23.0,7.0479998588562,11.0,9.386
66, höger,14.233999999999998,6.0,3.2136667569478363,5.0,17.0,5.0,9.0,40.0,21.0,6.7930002212524405,3.0,9.171
67, höger,14.328999999999999,1.0,3.4006667137146,5.0,13.0,6.0,6.0,3.0,4.0,2.76900005340576,6.0,9.067
68, vänster,27.249999999999996,1.0,4.775999863942467,6.0,6.0,2.0,3.0,3.0,4.0,,5.0,11.802999999999999
69, höger,15.532000000000002,2.0,3.0076666673024497,4.0,18.0,1.0,9.0,5.0,16.0,1.7970000505447399,3.0,10.901
70, höger,12.177000000000001,5.0,3.3893333276112867,5.0,18.0,6.0,6.0,40.0,10.0,2.66799998283386,5.0,11.0
71, vänster,18.369000000000003,2.0,7.7426664034525565,6.0,2.0,2.0,2.0,4.0,9.0,1.04799997806549,3.0,15.935999999999998
72, höger,13.601999999999999,2.0,4.319333394368491,4.0,9.0,1.0,9.0,17.0,20.0,3.7639999389648398,4.0,9.11111111111111
73, vänster,17.33222222222222,3.0,3.278666655222574,4.0,2.0,2.0,10.0,6.0,12.0,2.57399988174438,1.0,10.801
74, vänster,20.762999999999998,2.0,5.918666521708171,2.0,3.0,1.0,6.0,2.0,6.0,1.92700004577637,6.0,14.666
75, höger,21.431,2.0,10.583666642506932,3.0,2.0,1.0,5.0,3.0,4.0,1.25600004196167,0.0,14.63
76, vänster,20.095000000000002,1.0,4.258666674296063,4.0,5.0,1.0,6.0,3.0,22.0,1.9639999866485602,1.0,16.799
77, vänster,,2.0,4.613000075022377,4.0,15.0,2.0,7.0,3.0,10.0,1.45899999141693,0.0,
78, höger,18.496000000000002,1.0,5.134333292643227,6.0,3.0,1.0,6.0,4.0,2.0,1.60699999332428,5.0,22.666000000000004
79, höger,17.333999999999996,5.0,3.0373333295186367,4.0,21.0,1.0,3.0,5.0,24.0,2.95099997520447,5.0,9.268
80, höger,22.343999999999998,5.0,3.057000001271567,3.0,3.0,0.0,7.0,6.0,13.0,1.7539999485015902,0.0,9.766000000000002
81, höger,16.764000000000003,2.0,5.457333246866863,6.0,5.0,3.0,6.0,5.0,14.0,0.8960000276565551,4.0,17.168000000000003
82, höger,10.571,4.0,3.943999926249186,6.0,18.0,16.0,10.0,9.0,17.0,2.24799990653992,5.0,7.365
83, höger,13.465,3.0,3.0823333263397235,6.0,21.0,2.0,8.0,7.0,17.0,5.82000017166138,4.0,7.800000000000002
84, höger,13.254000000000001,6.0,2.51133330663045,19.0,21.0,5.0,4.0,26.0,20.0,2.7699999809265097,8.0,8.665
85, vänster,30.981833333333334,1.0,9.211000124613443,2.0,4.0,2.0,3.0,3.0,7.0,1.96899998188019,0.0,24.000999999999998
86, höger,15.834000000000001,2.0,4.987999916076659,4.0,6.0,2.0,5.0,3.0,11.0,1.5069999694824199,1.0,14.565000000000001
87, vänster,12.058125,2.0,5.562000115712483,6.0,5.0,2.0,8.0,9.0,10.0,1.21899998188019,0.0,12.102000000000002
88, vänster,22.232,2.0,5.035999933878579,7.0,1.0,1.0,9.0,2.0,6.0,1.6879999637603798,0.0,11.697000000000001
89, höger,12.000374999999998,10.0,3.5019999345143664,6.0,18.0,12.0,8.0,23.0,20.0,2.72000002861023,7.0,7.167000000000001
90, höger,12.866999999999999,8.0,3.5880000591278063,10.0,20.0,1.0,18.0,18.0,22.0,3.88299989700317,7.0,6.3
91, höger,17.956666666666667,2.0,4.569333394368489,3.0,12.0,1.0,5.0,3.0,5.0,1.3860000371933001,0.0,12.800999999999998
92, höger,8.598999999999998,8.0,2.6526666482289603,6.0,19.0,1.0,12.0,26.0,13.0,2.49399995803833,9.0,8.103
93, höger,9.651714285714286,2.0,4.464666684468587,8.0,17.0,3.0,8.0,3.0,9.0,1.7710000276565598,5.0,10.833
94,,17.228,2.0,5.169333299001057,4.0,6.0,3.0,6.0,4.0,18.0,1.4900000095367398,6.0,11.497
95,,,1.0,,3.0,4.0,1.0,3.0,2.0,5.0,0.675999999046326,9.0,19.669
96,,13.659999999999998,1.0,3.9359998703002907,2.0,1.0,2.0,4.0,2.0,7.0,1.4099999666213998,2.0,11.032
97,,22.927,0.0,15.0,3.0,1.0,1.0,5.0,3.0,2.0,1.9190000295639,0.0,21.563
98,,16.433,2.0,3.7049999237060534,5.0,7.0,1.0,2.0,3.0,8.0,0.9409999847412109,5.0,9.834
99,,18.901,4.0,5.614999930063884,4.0,1.0,3.0,10.0,3.0,14.0,1.7200000286102302,5.0,9.968000000000002
100,,15.466000000000003,7.0,3.40833330154419,8.0,19.0,10.0,12.0,6.0,9.0,3.04299998283386,8.0,7.1339999999999995
101,,15.132,3.0,4.06833330790202,4.0,14.0,5.0,5.0,2.0,16.0,1.06400001049042,10.0,9.568
